279,"NATURALEZA Y PROPIEDADES DE LOS SUELOS","BUCKMAN, HARRY","631B","",15
280,"NATURALEZA Y PROPIEDADES DE LOS SUELOS","BUCKMAN, HARRY","631B","",0
281,"NATURALEZA Y PROPIEDADES DE LOS SUELOS","BUCKMAN, HARRY","631B","",0
284,"TEORIA GENERAL DE KEYNES: INFORME DE TRES DECADAS, LA","CHAMPERNOWNE, D. G.","330CH","",4
285,"TEORIA GENERAL DE KEYNES: INFORME DE TRES DECADAS, LA","CHAMPERNOWNE, D. G.","330CH","",5
286,"TEORIA GENERAL DE KEYNES: INFORME DE TRES DECADAS, LA","CHAMPERNOWNE, D. G.","330CH","",4
287,"TEORIA GENERAL DE KEYNES: INFORME DE TRES DECADAS, LA","CHAMPERNOWNE, D. G.","330CH","",8
288,"TEORIA GENERAL DE KEYNES: INFORME DE TRES DECADAS, LA","CHAMPERNOWNE, D. G.","330CH","",7
289,"TEORIA DEL DESARROLLO CAPITALISTA","SWEEZY, PAUL M.","320S","",5
290,"TEORIA DEL DESARROLLO CAPITALISTA","SWEEZY, PAUL M.","320S","",9
291,"TEORIA DEL DESARROLLO CAPITALISTA","SWEEZY, PAUL M.","320S","",10
292,"TEORIA DEL DESARROLLO CAPITALISTA","SWEEZY, PAUL M.","320S","",8
293,"TEORIA DEL DESARROLLO CAPITALISTA","SWEEZY, PAUL M.","320S","",11
294,"TECNICAS DE LA INVESTIGACION, LAS","BAVARESCO, AURA","001B","",0
295,"TECNICAS DE LA INVESTIGACION, LAS","BAVARESCO, AURA","001B","",0
296,"TECNICAS DE LA INVESTIGACION, LAS","BAVARESCO, AURA","001B","",23
297,"TECNICAS DE LA INVESTIGACION, LAS","BAVARESCO, AURA","001B","",22
298,"TECNICAS DE LA INVESTIGACION, LAS","BAVARESCO, AURA","001B","",0
299,"TECNICAS DE LA INVESTIGACION, LAS","BAVARESCO, AURA","001B","",0
300,"TECNICAS DE LA INVESTIGACION, LAS","BAVARESCO, AURA","001B","",36
301,"TECNICAS DE LA INVESTIGACION, LAS","BAVARESCO, AURA","001B","",0
302,"TECNICAS DE LA INVESTIGACION, LAS","BAVARESCO, AURA","001B","",1
303,"TECNICAS DE LA INVESTIGACION, LAS","BAVARESCO, AURA","001B","",0
304,"ECONOMIA POLITICA I","LANGE, OSKAR","330L","",6
305,"ECONOMIA POLITICA I","LANGE, OSKAR","330L","",0
306,"ECONOMIA POLITICA I","LANGE, OSKAR","330L","",5
307,"ECONOMIA POLITICA I","LANGE, OSKAR","330L","",1
308,"ECONOMIA POLITICA I","LANGE, OSKAR","330L","",3
309,"ECONOMIA POLITICA I","LANGE, OSKAR","330L","",0
310,"ECONOMIA POLITICA I","LANGE, OSKAR","330L","",4
311,"ECONOMIA POLITICA I","LANGE, OSKAR","330L","",3
312,"ECONOMIA POLITICA I","LANGE, OSKAR","330L","",5
313,"ECONOMIA POLITICA I","LANGE, OSKAR","330L","",3
314,"PROBLEMARIO LOGICA SIMBOLICA","PAREDES, JULIO C.","511P","",1
315,"PROBLEMARIO LOGICA SIMBOLICA","PAREDES, JULIO C.","511P","",2
316,"PROBLEMARIO LOGICA SIMBOLICA","PAREDES, JULIO C.","511P","",4
317,"PROBLEMARIO LOGICA SIMBOLICA","PAREDES, JULIO C.","511P","",1
318,"PROBLEMARIO LOGICA SIMBOLICA","PAREDES, JULIO C.","511P","",0
319,"PROBLEMARIO LOGICA SIMBOLICA","PAREDES, JULIO C.","511P","",2
358,"FISIOLOGIA MEDICA","GANONG, WILLIAM","612G","",6
375,"PRINCIPIOS DE AUDITORIA","MEIGS, WALTER B.","657M","",16
376,"PRINCIPIOS DE AUDITORIA","MEIGS, WALTER B.","657M","",28
377,"PRINCIPIOS DE AUDITORIA","MEIGS, WALTER B.","657M","",12
378,"PRINCIPIOS DE AUDITORIA","MEIGS, WALTER B.","657 M","",17
379,"PRINCIPIOS DE AUDITORIA","MEIGS, WALTER B.","657M","",21
380,"PRINCIPIOS DE AUDITORIA","MEIGS, WALTER B.","657M","",19
381,"PRINCIPIOS DE AUDITORIA","MEIGS, WALTER","657M","",26
382,"PRINCIPIOS DE AUDITORIA","MEIGS, WALTER B.","657M","",15
383,"PRINCIPIOS DE AUDITORIA","MEIGS, WALTER B.","657 M","",14
384,"PRINCIPIOS DE AUDITORIA","MEIGS, WALTER B.","657M","",24
385,"DERECHO DEL TRABAJO","CALDERA, RAFAEL","348C","",32
386,"DERECHO DEL TRABAJO","CALDERA, RAFAEL","348C","",11
387,"DERECHO DEL TRABAJO","CALDERA, RAFAEL","348C","",22
388,"DERECHO DEL TRABAJO","CALDERA, RAFAEL","348C","",26
389,"HISTORIA DE LA EDUCACION Y LA PEDAGOGIA","LUZURIAGA, LORENZO","370L","",37
390,"HISTORIA DE LA EDUCACION Y LA PEDAGOGIA","LUZURIAGA, LORENZO","370L","",22
391,"HISTORIA DE LA EDUCACION Y LA PEDAGOGIA","LUZURIAGA, LORENZO","370L","",0
392,"HISTORIA DE LA EDUCACION Y LA PEDAGOGIA","LUZURIAGA, LORENZO","370 L","",30
393,"HISTORIA DE LA EDUCACION Y LA PEDAGOGIA","LUZURIAGA, LORENZO","370 L","",28
394,"HISTORIA DE LA EDUCACION Y LA PEDAGOGIA","LUZURIAGA, LORENZO","370L","",0
395,"HISTORIA DE LA EDUCACION Y LA PEDAGOGIA","LUZURIAGA, LORENZO","370L","",17
396,"HISTORIA DE LA ECONOMIA DEL MUNDO OCCIDENTAL","BARNES, HARRY E.","330B","",5
397,"HISTORIA DE LA ECONOMIA DEL MUNDO OCCIDENTAL","BARNES, HARRY E.","330B","",7
398,"DIALECTICA DE LO CONCRETO","KOSIK, KAREL","100K","",2
399,"DIALECTICA DE LO CONCRETO","KOSIK, KAREL","100K","",1
400,"DIALECTICA DE LO CONCRETO","KOSIK, KAREL","100K","",1
401,"DIALECTICA DE LO CONCRETO","KOSIK, KAREL","100K","",3
402,"DIALECTICA DE LO CONCRETO","KOSIK, KAREL","100K","",2
403,"DIALECTICA DE LO CONCRETO","KOSIK, KAREL","100K","",3
404,"DIALECTICA DE LO CONCRETO","KOSIK, KAREL","100K","",2
405,"DIALECTICA DE LO CONCRETO","KOSIK, KAREL","100K","",1
406,"DIALECTICA DE LO CONCRETO","KOSIK, KAREL","100K","",4
407,"DIALECTICA DE LO CONCRETO","KOSIK, KAREL","100K","",4
408,"FARMACOLOGIA","LITTER, MANUEL","615 L","",6
409,"FARMACOLOGIA","LITTER, MANUEL","615 L","",13
410,"FARMACOLOGIA","LITTER, MANUEL","615L","",10
411,"FARMACOLOGIA","LITTER, MANUEL","615L","",12
412,"FARMACOLOGIA","LITTER, MANUEL.","615 L","",4
413,"FARMACOLOGIA","LITTER, MANUEL","615L","",12
414,"FARMACOLOGIA","LITTER, MANUEL","615 L","",5
422,"FISIOLOGIA MEDICA","GANONG, WILLIAM","612 G","",71
423,"FISIOLOGIA MEDICA","GANONG, WILLIAM","612 G","",9
424,"FISIOLOGIA MEDICA","GANONG, WILLIAM","612G","",2
